Vintage,State,Weather_Year,WACC_Pct,Status,Solve_Time_Sec,Optimality_Gap_Pct,N_Variables,N_Constraints,Solar_GW,Wind_GW,BESS_Power_GW,BESS_Energy_GWh,Landed_LCOE_INR_kWh,Achieved_RPO_Pct,Grid_Share_Pct,Curtailment_GWh,Total_Cost_Billion_INR
2024-25,RJ,2022,10.0,Optimal,12.100959062576294,0.0,70085,70084,2.3185049613832964,0.8361092125087273,2.0,4.0,10.572154447153348,82.89020107573174,8.483608843336784,0.0,69.25733801094582
2024-25,RJ,2022,10.0,Optimal,17.102030992507935,0.0,70085,70084,3.152003721362949,0.31695797642640827,2.0,8.0,6.375733764543355,96.49128376764821,7.565657870593529,0.0,41.766921832822355
2024-25,RJ,2022,10.0,Optimal,28.76190495491028,0.0,70085,70084,3.3753863295258264,0.303997589766102,1.5262076356280134,9.15724581376808,6.256718764725509,99.23692867574918,5.744769266295454,0.0,40.98726409021563
2024-25,RJ,2022,10.0,Optimal,31.3098201751709,0.0,70085,70084,3.5811153937097537,0.35798476607414176,1.248714093615317,9.989712748922535,6.529954868201305,99.0677832528483,5.7991654496871305,0.0,42.77721194519729
2024-25,GJ,2022,10.0,Optimal,8.842732429504395,0.0,70085,70084,2.530784044016506,0.7396715730050687,2.0,4.0,11.75420664765177,79.91424354311333,9.287539358756701,0.0,77.00086741223494
2024-25,GJ,2022,10.0,Optimal,15.608219146728516,0.0,70085,70084,3.2002099737532808,0.2958766066929038,2.0,8.0,6.784701920966548,95.1080524614628,8.241002091816437,0.0,44.446039508098174
2024-25,GJ,2022,10.0,Optimal,28.68236780166626,0.0,70085,70084,3.5073616417734703,0.22979023127227433,1.5434895632773162,9.260937379663897,6.554505179579296,98.45664014075629,6.273584091869629,0.0,42.938039071009605
2024-25,GJ,2022,10.0,Optimal,33.447521924972534,0.0,70085,70084,3.828759207972685,0.264849559316022,1.2132127660158898,9.705702128127118,6.821404503104758,98.16357402322724,6.437372422957588,0.0,44.68647518747902
2024-25,TN,2022,10.0,Optimal,11.029496192932129,0.0,70085,70084,2.8286604361370715,0.6135129533678756,2.0,4.0,13.834779676525653,76.3978387795623,10.449062170391919,0.0,79.44596883928489
2024-25,TN,2022,10.0,Optimal,16.144342184066772,0.0,70085,70084,3.4316973251357235,0.14260016577093723,2.0,8.0,7.808708412389145,94.55906723918595,9.004685790849157,0.0,44.84136500260655
2024-25,TN,2022,10.0,Optimal,24.235938787460327,0.0,70085,70084,3.6479527959503577,0.04252890424296055,1.5967392215063987,9.58043532903839,7.604019616456783,99.04346927384627,5.954108874385055,0.0,43.6659433418637
2024-25,TN,2022,10.0,Optimal,24.87978482246399,0.0,70085,70084,3.940352842483203,0.08130625363580736,1.2891405600268404,10.313124480214723,7.900589854048484,98.71033914482598,6.312403518869607,0.0,45.36899249806729
2024-25,KA,2022,10.0,Optimal,10.536471128463745,0.0,70085,70084,2.53814272166578,0.7053468856796383,2.0,4.0,12.050123998514117,80.74849272204344,9.382926409417767,0.0,69.19761630319566
2024-25,KA,2022,10.0,Optimal,14.26876711845398,0.0,70085,70084,3.1832528547276895,0.22842486038518864,2.0,8.0,7.435243892156445,96.54971398994022,7.281143878060845,0.0,42.69675183704028
2024-25,KA,2022,10.0,Optimal,24.192635536193848,0.0,70085,70084,3.3752963607203728,0.14782570316908097,1.5117450519781075,9.070470311868645,7.380107817404137,98.91733747258348,5.665184257217816,0.0,42.380133937868045
2024-25,KA,2022,10.0,Optimal,22.568038940429688,0.0,70085,70084,3.66699545805638,0.16160874134573908,1.249726075587735,9.99780860470188,7.661976210307604,99.3244407474396,5.4458926179972975,0.0,43.99875802028725
2025-26,RJ,2022,10.0,Optimal,11.161774158477783,0.0,70085,70084,2.329469918699187,0.8442545421458361,2.0,4.0,10.306894304496081,82.98100570935107,8.4244973248183,0.0,67.51964003720947
2025-26,RJ,2022,10.0,Optimal,17.192650079727173,0.0,70085,70084,3.1840978018102737,0.31654761352866123,2.0,8.0,6.006987899022137,96.59374556769932,7.50829407816902,0.0,39.3512971674621
2025-26,RJ,2022,10.0,Optimal,28.063013553619385,0.0,70085,70084,3.4240292854614034,0.2862791467595405,1.584554999180636,9.507329995083815,5.85664426758422,100.26880718655906,5.012374359473534,0.0,38.366408065402815
2025-26,RJ,2022,10.0,Optimal,34.82976031303406,0.0,70085,70084,3.584526992279083,0.3548676958328465,1.2540167303291885,10.032133842633508,6.112719352198242,99.1459102285003,5.7516996930671125,0.0,40.04393545870251
2025-26,GJ,2022,10.0,Optimal,7.86147665977478,0.0,70085,70084,2.540732351830879,0.7533678756476684,2.0,4.0,11.48380487537549,80.0248983565633,9.217456400105386,0.0,75.2294870341948
2025-26,GJ,2022,10.0,Optimal,14.021415948867798,0.0,70085,70084,3.2826617896462897,0.28542149001145195,2.0,8.0,6.414155851646258,95.24611032361653,8.219803838352805,0.0,42.0186218516665
2025-26,GJ,2022,10.0,Optimal,26.937596321105957,0.0,70085,70084,3.6025260630665836,0.1932930904465845,1.6164720170344238,9.698832102206543,6.1527049598760915,99.88847910843644,5.247267891999297,0.0,40.305877975751486
2025-26,GJ,2022,10.0,Optimal,31.32636070251465,0.0,70085,70084,3.8742450002305784,0.24909527616784194,1.2390536250984179,9.912429000787343,6.403146048330162,98.81147391621792,5.975126868229273,0.0,41.946497510927024
2025-26,TN,2022,10.0,Optimal,11.323577642440796,0.0,70085,70084,2.8917874161466726,0.6241120446744861,2.0,4.0,13.516988634725442,76.60662689408262,10.366752450985834,0.0,77.62105960367906
2025-26,TN,2022,10.0,Optimal,14.951064348220825,0.0,70085,70084,3.5238888112864926,0.13927623117864946,2.0,8.0,7.380716532776022,94.8337840732847,8.880111953144901,0.0,42.38362947473943
2025-26,TN,2022,10.0,Optimal,24.370368003845215,0.0,70085,70084,3.6902735903721595,0.04194767525019298,1.627393764492964,9.764362586957784,7.137958229120661,99.71129400290909,5.483257035845472,0.0,40.989594363330646
2025-26,TN,2022,10.0,Optimal,24.497358560562134,0.0,70085,70084,3.9847518604652477,0.06786001373320275,1.3253365319768096,10.602692255814476,7.4090834230930325,99.43637221838995,5.834625446077086,0.0,42.54652582270343
2025-26,KA,2022,10.0,Optimal,8.364553213119507,0.0,70085,70084,2.5827459129445938,0.7137924311612727,2.0,4.0,11.742363156721936,80.90880917435128,9.316464331769355,0.0,67.4303053073827
2025-26,KA,2022,10.0,Optimal,16.05307126045227,0.0,70085,70084,3.2664379931174574,0.22772301094189232,2.0,8.0,7.0153966629020905,96.80248484863986,7.169160277112932,0.0,40.28578681464839
2025-26,KA,2022,10.0,Optimal,20.104445934295654,0.0,70085,70084,3.385769058890083,0.14737969414195887,1.5310569734518296,9.186341840710979,6.940190814617826,99.27055885258315,5.406893532063415,0.0,39.85391860864714
2025-26,KA,2022,10.0,Optimal,23.019755601882935,0.0,70085,70084,3.6389674152788887,0.16086834593244348,1.2623045387704,10.0984363101632,7.190742335267249,99.36634359856794,5.421092582810646,0.0,41.2927061258726
2026-27,RJ,2022,10.0,Optimal,9.051620721817017,0.0,70085,70084,2.363078974852756,0.8602176165803109,2.0,4.0,10.060761235542207,83.18665619956671,8.29358671276457,0.0,65.90724199313816
